,primarytitle,startyear,runtimeminutes,genres,ordering,category,averagerating,numvotes,primaryname,y_pred
1773,Playing with Fire,2000,118,Drama,2,actress,7.3,46,Ara Mina,1
1782,Ten,2002,89,Drama,1,actress,7.4,7789,Mania Akbari,1
1783,Ten,2002,89,Drama,2,actor,7.4,7789,Amina Maher,1
1864,Circles,2001,125,Romance,1,actress,5.6,25,DawnMarie Ferrara,1
1865,Circles,2001,125,Romance,2,actor,5.6,25,Anthony Martins,1
1894,Along the Way,2007,111,Drama,1,actor,6.2,291,Briel DiCristofaro,1
1895,Along the Way,2007,111,Drama,2,actor,6.2,291,Andrew Bowen,1
1900,Time of the Wolf,2002,87,Drama,1,actor,6.3,272,Burt Reynolds,1
1901,Time of the Wolf,2002,87,Drama,2,actress,6.3,272,Marthe Keller,1
1908,Our Father,2002,84,Drama,1,actor,6.6,656,Ahidjo Mahamat Moussa,1
1909,Our Father,2002,84,Drama,2,actor,6.6,656,Hamza Moctar Aguid,1
1912,Cherry Bomb,2004,77,Drama,1,actress,6.7,25,Tara Taylor,1
1913,Cherry Bomb,2004,77,Drama,2,actress,6.7,25,Masiela Lusha,1
1914,Fear of the Dark,2003,86,Horror,1,actor,5.2,3019,Kevin Zegers,4
1915,Fear of the Dark,2003,86,Horror,2,actor,5.2,3019,Jesse James,4
1930,Pure,2002,96,Drama,1,actor,6.8,2666,Harry Eden,1
1931,Pure,2002,96,Drama,2,actor,6.8,2666,Vinnie Hunter,1
1932,September,2003,115,Drama,1,actress,5.9,143,Catharina Schuchmann,1
1933,September,2003,115,Drama,2,actor,5.9,143,Justus von Dohnányi,1
1984,Take Away,2002,73,Drama,1,actress,8.0,15,Philly Abe,1
1985,Take Away,2002,73,Drama,2,actress,8.0,15,Maria Angelico,1
2020,For Real,2003,95,Comedy,1,actor,5.7,65,Tim Reid,4
2021,For Real,2003,95,Comedy,2,actress,5.7,65,Tamara 'Gingir' Curry,4
2044,Callback,2005,81,Drama,1,actor,8.7,20,Richard Eden,1
2045,Callback,2005,81,Drama,2,actor,8.7,20,Louie Alegria,1
2054,Flowers,2002,90,Drama,1,actor,6.2,80,Justin Hagan,1
2055,Flowers,2002,90,Drama,2,actor,6.2,80,Ralph McCain,1
2060,Surrender,2003,73,Drama,1,actress,3.3,183,Julie Clay,4
2061,Surrender,2003,73,Drama,2,actress,3.3,183,Katherine Brooks,4
2068,Stuck,2002,96,Drama,1,actor,7.3,70,JR Bourne,1
2069,Stuck,2002,96,Drama,2,actor,7.3,70,Fred Henderson,1
2080,Echoes,2002,72,Drama,1,actress,5.8,15,Eden Rountree,1
2081,Echoes,2002,72,Drama,2,actor,5.8,15,Paolo Pagliacolo,1
2130,Under the Gun,2002,80,Drama,1,actor,6.0,35,Jesse Bean,1
2131,Under the Gun,2002,80,Drama,2,actor,6.0,35,Christopher Atkins,1
2132,Bonus,2001,85,Comedy,1,actor,6.3,774,Petros Filippidis,1
2133,Bonus,2001,85,Comedy,2,actress,6.3,774,Evelina Papoulia,1
2165,Time of the Wolf,2003,114,Drama,1,actress,6.5,10607,Isabelle Huppert,1
